Facets,Cleaned_Facet,Category,Description,Weight,Prompt_Template
Mysteriousness,Mysteriousness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Mysteriousness.",1.0,"Rate how strongly the text exhibits 'Mysteriousness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Mysteriousness.)"
Cultural Identity,Cultural Identity,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Cultural Identity.",1.0,"Rate how strongly the text exhibits 'Cultural Identity' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Cultural Identity.)"
Intrinsic Motivation,Intrinsic Motivation,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Intrinsic Motivation.",1.0,"Rate how strongly the text exhibits 'Intrinsic Motivation' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Intrinsic Motivation.)"
Impartial-mindedness,Impartial-mindedness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Impartial-mindedness.",1.0,"Rate how strongly the text exhibits 'Impartial-mindedness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Impartial-mindedness.)"
Burnout Symptoms,Burnout Symptoms,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Burnout Symptoms.",1.0,"Rate how strongly the text exhibits 'Burnout Symptoms' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Burnout Symptoms.)"
Holiness,Holiness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Holiness.",1.0,"Rate how strongly the text exhibits 'Holiness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Holiness.)"
Selfcontrol,Selfcontrol,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Selfcontrol.",1.0,"Rate how strongly the text exhibits 'Selfcontrol' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Selfcontrol.)"
SelfDirectedness,SelfDirectedness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of SelfDirectedness.",1.0,"Rate how strongly the text exhibits 'SelfDirectedness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of SelfDirectedness.)"
Encouraging participation,Encouraging participation,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Encouraging participation.",1.0,"Rate how strongly the text exhibits 'Encouraging participation' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Encouraging participation.)"
Impracticalness,Impracticalness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Impracticalness.",1.0,"Rate how strongly the text exhibits 'Impracticalness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Impracticalness.)"
Meeting Deadlines,Meeting Deadlines,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Meeting Deadlines.",1.0,"Rate how strongly the text exhibits 'Meeting Deadlines' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Meeting Deadlines.)"
Data Analysis,Data Analysis,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Data Analysis.",1.0,"Rate how strongly the text exhibits 'Data Analysis' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Data Analysis.)"
Social Interaction Skills,Social Interaction Skills,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Social Interaction Skills.",1.0,"Rate how strongly the text exhibits 'Social Interaction Skills' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Social Interaction Skills.)"
Psychoticism,Psychoticism,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Psychoticism.",1.0,"Rate how strongly the text exhibits 'Psychoticism' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Psychoticism.)"
Ethical leadership rating,Ethical leadership rating,Safety,"Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Ethical leadership rating.",1.0,"Rate how strongly the text exhibits 'Ethical leadership rating' (Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Ethical leadership rating.)"
Slothfulness,Slothfulness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Slothfulness.",1.0,"Rate how strongly the text exhibits 'Slothfulness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Slothfulness.)"
Happiness,Happiness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Happiness.",1.0,"Rate how strongly the text exhibits 'Happiness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Happiness.)"
Contentment Levels,Contentment Levels,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Contentment Levels.",1.0,"Rate how strongly the text exhibits 'Contentment Levels' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Contentment Levels.)"
Neuroticism,Neuroticism,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Neuroticism.",1.0,"Rate how strongly the text exhibits 'Neuroticism' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Neuroticism.)"
Desire for excellence,Desire for excellence,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Desire for excellence.",1.0,"Rate how strongly the text exhibits 'Desire for excellence' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Desire for excellence.)"
Perceiving,Perceiving,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Perceiving.",1.0,"Rate how strongly the text exhibits 'Perceiving' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Perceiving.)"
Liberalism,Liberalism,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Liberalism.",1.0,"Rate how strongly the text exhibits 'Liberalism' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Liberalism.)"
Inversion comfort level,Inversion comfort level,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Inversion comfort level.",1.0,"Rate how strongly the text exhibits 'Inversion comfort level' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Inversion comfort level.)"
Affection,Affection,Emotion,"Measures the presence, intensity, and nuance of emotion related to Affection.",1.0,"Rate how strongly the text exhibits 'Affection' (Measures the presence, intensity, and nuance of emotion related to Affection.)"
Numeric Filing Skills,Numeric Filing Skills,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Numeric Filing Skills.",1.0,"Rate how strongly the text exhibits 'Numeric Filing Skills' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Numeric Filing Skills.)"
Martyrdom,Martyrdom,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Martyrdom.",1.0,"Rate how strongly the text exhibits 'Martyrdom' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Martyrdom.)"
Parathyroid-hormone level,Parathyroid-hormone level,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Parathyroid-hormone level.",1.0,"Rate how strongly the text exhibits 'Parathyroid-hormone level' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Parathyroid-hormone level.)"
Seeking approval,Seeking approval,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Seeking approval.",1.0,"Rate how strongly the text exhibits 'Seeking approval' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Seeking approval.)"
Judging (J):,Judging (J),Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Judging (J).",1.0,"Rate how strongly the text exhibits 'Judging (J)' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Judging (J).)"
Big Five facet Openness – Artistic Interests,Big Five facet Openness – Artistic Interests,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Big Five facet Openness – Artistic Interests.",1.0,"Rate how strongly the text exhibits 'Big Five facet Openness – Artistic Interests' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Big Five facet Openness – Artistic Interests.)"
Psychological construct: Operant-Learning rate,Psychological construct: Operant-Learning rate,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Operant-Learning rate.",1.0,"Rate how strongly the text exhibits 'Psychological construct: Operant-Learning rate' (Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Operant-Learning rate.)"
Psychological construct: Need for Achievement level,Psychological construct: Need for Achievement level,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Need for Achievement level.",1.0,"Rate how strongly the text exhibits 'Psychological construct: Need for Achievement level' (Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Need for Achievement level.)"
Cantankerousness,Cantankerousness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Cantankerousness.",1.0,"Rate how strongly the text exhibits 'Cantankerousness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Cantankerousness.)"
Material properties knowledge,Material properties knowledge,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Material properties knowledge.",1.0,"Rate how strongly the text exhibits 'Material properties knowledge' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Material properties knowledge.)"
Hostility,Hostility,Safety,"Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Hostility.",1.0,"Rate how strongly the text exhibits 'Hostility' (Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Hostility.)"
Independence,Independence,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Independence.",1.0,"Rate how strongly the text exhibits 'Independence' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Independence.)"
800. Sufi practice: Sufi retreat attendance count,Sufi practice: Sufi retreat attendance count,Spiritual & Cultural,"Evaluates elements of cultural values, religious practices, or spiritual awareness in Sufi practice: Sufi retreat attendance count.",1.0,"Rate how strongly the text exhibits 'Sufi practice: Sufi retreat attendance count' (Evaluates elements of cultural values, religious practices, or spiritual awareness in Sufi practice: Sufi retreat attendance count.)"
Chromatin-accessibility score,Chromatin-accessibility score,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Chromatin-accessibility score.",1.0,"Rate how strongly the text exhibits 'Chromatin-accessibility score' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Chromatin-accessibility score.)"
644. Spiritual virtue: Humility practice index,Spiritual virtue: Humility practice index,Spiritual & Cultural,"Evaluates elements of cultural values, religious practices, or spiritual awareness in Spiritual virtue: Humility practice index.",1.0,"Rate how strongly the text exhibits 'Spiritual virtue: Humility practice index' (Evaluates elements of cultural values, religious practices, or spiritual awareness in Spiritual virtue: Humility practice index.)"
754. I Ching hexagram 36 resonance level,I Ching hexagram 36 resonance level,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of I Ching hexagram 36 resonance level.",1.0,"Rate how strongly the text exhibits 'I Ching hexagram 36 resonance level' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of I Ching hexagram 36 resonance level.)"
Well-being component: Engagement,Well-being component: Engagement,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Well-being component: Engagement.",1.0,"Rate how strongly the text exhibits 'Well-being component: Engagement' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Well-being component: Engagement.)"
Need for social interaction,Need for social interaction,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Need for social interaction.",1.0,"Rate how strongly the text exhibits 'Need for social interaction' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Need for social interaction.)"
Peer-collaboration hours,Peer-collaboration hours,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Peer-collaboration hours.",1.0,"Rate how strongly the text exhibits 'Peer-collaboration hours' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Peer-collaboration hours.)"
Arts and Humanities,Arts and Humanities,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Arts and Humanities.",1.0,"Rate how strongly the text exhibits 'Arts and Humanities' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Arts and Humanities.)"
596. Religious practice: Quran khatam cycles per year,Religious practice: Quran khatam cycles per year,Spiritual & Cultural,"Evaluates elements of cultural values, religious practices, or spiritual awareness in Religious practice: Quran khatam cycles per year.",1.0,"Rate how strongly the text exhibits 'Religious practice: Quran khatam cycles per year' (Evaluates elements of cultural values, religious practices, or spiritual awareness in Religious practice: Quran khatam cycles per year.)"
926. Bahá’í spiritual metric: Ridván festival participation,Bahá’í spiritual metric: Ridván festival participation,Spiritual & Cultural,"Evaluates elements of cultural values, religious practices, or spiritual awareness in Bahá’í spiritual metric: Ridván festival participation.",1.0,"Rate how strongly the text exhibits 'Bahá’í spiritual metric: Ridván festival participation' (Evaluates elements of cultural values, religious practices, or spiritual awareness in Bahá’í spiritual metric: Ridván festival participation.)"
Compassion,Compassion,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Compassion.",1.0,"Rate how strongly the text exhibits 'Compassion' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Compassion.)"
Information Retention,Information Retention,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Information Retention.",1.0,"Rate how strongly the text exhibits 'Information Retention' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Information Retention.)"
Eye-contact duration,Eye-contact duration,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Eye-contact duration.",1.0,"Rate how strongly the text exhibits 'Eye-contact duration' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Eye-contact duration.)"
Self-righteousness,Self-righteousness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Self-righteousness.",1.0,"Rate how strongly the text exhibits 'Self-righteousness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Self-righteousness.)"
General Mood and Attitude,General Mood and Attitude,Emotion,"Measures the presence, intensity, and nuance of emotion related to General Mood and Attitude.",1.0,"Rate how strongly the text exhibits 'General Mood and Attitude' (Measures the presence, intensity, and nuance of emotion related to General Mood and Attitude.)"
Serotonin transporter availability,Serotonin transporter availability,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Serotonin transporter availability.",1.0,"Rate how strongly the text exhibits 'Serotonin transporter availability' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Serotonin transporter availability.)"
Contribution to Group Goals,Contribution to Group Goals,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Contribution to Group Goals.",1.0,"Rate how strongly the text exhibits 'Contribution to Group Goals' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Contribution to Group Goals.)"
Dignity,Dignity,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Dignity.",1.0,"Rate how strongly the text exhibits 'Dignity' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Dignity.)"
HEXACO Personality Inventory Facets:,HEXACO Personality Inventory Facets,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of HEXACO Personality Inventory Facets.",1.0,"Rate how strongly the text exhibits 'HEXACO Personality Inventory Facets' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of HEXACO Personality Inventory Facets.)"
Evaluating Solutions,Evaluating Solutions,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Evaluating Solutions.",1.0,"Rate how strongly the text exhibits 'Evaluating Solutions' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Evaluating Solutions.)"
Input,Input,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Input.",1.0,"Rate how strongly the text exhibits 'Input' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Input.)"
Discreteness,Discreteness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Discreteness.",1.0,"Rate how strongly the text exhibits 'Discreteness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Discreteness.)"
607. Energy-healing practice: Reiki sessions / year,Energy-healing practice: Reiki sessions / year,Spiritual & Cultural,"Evaluates elements of cultural values, religious practices, or spiritual awareness in Energy-healing practice: Reiki sessions / year.",1.0,"Rate how strongly the text exhibits 'Energy-healing practice: Reiki sessions / year' (Evaluates elements of cultural values, religious practices, or spiritual awareness in Energy-healing practice: Reiki sessions / year.)"
692. Astrology: Rising sign is Scorpio,Astrology: Rising sign is Scorpio,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Astrology: Rising sign is Scorpio.",1.0,"Rate how strongly the text exhibits 'Astrology: Rising sign is Scorpio' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Astrology: Rising sign is Scorpio.)"
Character strength: Social Intelligence,Character strength: Social Intelligence,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Character strength: Social Intelligence.",1.0,"Rate how strongly the text exhibits 'Character strength: Social Intelligence' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Character strength: Social Intelligence.)"
Bravery,Bravery,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Bravery.",1.0,"Rate how strongly the text exhibits 'Bravery' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Bravery.)"
Childhood Experiences,Childhood Experiences,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Childhood Experiences.",1.0,"Rate how strongly the text exhibits 'Childhood Experiences' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Childhood Experiences.)"
Data-sharing consent level,Data-sharing consent level,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Data-sharing consent level.",1.0,"Rate how strongly the text exhibits 'Data-sharing consent level' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Data-sharing consent level.)"
Vision-check frequency,Vision-check frequency,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Vision-check frequency.",1.0,"Rate how strongly the text exhibits 'Vision-check frequency' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Vision-check frequency.)"
Physical-violence exposure,Physical-violence exposure,Safety,"Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Physical-violence exposure.",1.0,"Rate how strongly the text exhibits 'Physical-violence exposure' (Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Physical-violence exposure.)"
Macronutrient ratio: fat,Macronutrient ratio: fat,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Macronutrient ratio: fat.",1.0,"Rate how strongly the text exhibits 'Macronutrient ratio: fat' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Macronutrient ratio: fat.)"
Cooking and Culinary Arts,Cooking and Culinary Arts,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Cooking and Culinary Arts.",1.0,"Rate how strongly the text exhibits 'Cooking and Culinary Arts' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Cooking and Culinary Arts.)"
Language use,Language use,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Language use.",1.0,"Rate how strongly the text exhibits 'Language use' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Language use.)"
Dance-style mastery diversity,Dance-style mastery diversity,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Dance-style mastery diversity.",1.0,"Rate how strongly the text exhibits 'Dance-style mastery diversity' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Dance-style mastery diversity.)"
Satya Adherence,Satya Adherence,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Satya Adherence.",1.0,"Rate how strongly the text exhibits 'Satya Adherence' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Satya Adherence.)"
Ethnocentrism,Ethnocentrism,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Ethnocentrism.",1.0,"Rate how strongly the text exhibits 'Ethnocentrism' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Ethnocentrism.)"
Emotional Boundaries,Emotional Boundaries,Emotion,"Measures the presence, intensity, and nuance of emotion related to Emotional Boundaries.",1.0,"Rate how strongly the text exhibits 'Emotional Boundaries' (Measures the presence, intensity, and nuance of emotion related to Emotional Boundaries.)"
Creativity in solutions,Creativity in solutions,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Creativity in solutions.",1.0,"Rate how strongly the text exhibits 'Creativity in solutions' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Creativity in solutions.)"
Psychological construct: Hope scale,Psychological construct: Hope scale,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Hope scale.",1.0,"Rate how strongly the text exhibits 'Psychological construct: Hope scale' (Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Hope scale.)"
565. Practice frequency: Walking meditation,Practice frequency: Walking meditation,Spiritual & Cultural,"Evaluates elements of cultural values, religious practices, or spiritual awareness in Practice frequency: Walking meditation.",1.0,"Rate how strongly the text exhibits 'Practice frequency: Walking meditation' (Evaluates elements of cultural values, religious practices, or spiritual awareness in Practice frequency: Walking meditation.)"
Depression (DEP),Depression (DEP),Emotion,"Measures the presence, intensity, and nuance of emotion related to Depression (DEP).",1.0,"Rate how strongly the text exhibits 'Depression (DEP)' (Measures the presence, intensity, and nuance of emotion related to Depression (DEP).)"
Understanding Mathematical Concepts,Understanding Mathematical Concepts,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Understanding Mathematical Concepts.",1.0,"Rate how strongly the text exhibits 'Understanding Mathematical Concepts' (Assesses logical coherence, analytical reasoning, and structured processing associated with Understanding Mathematical Concepts.)"
Hypomania (Ma),Hypomania (Ma),Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Hypomania (Ma).",1.0,"Rate how strongly the text exhibits 'Hypomania (Ma)' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Hypomania (Ma).)"
Goal-Directed Behavior,Goal-Directed Behavior,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Goal-Directed Behavior.",1.0,"Rate how strongly the text exhibits 'Goal-Directed Behavior' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Goal-Directed Behavior.)"
Depth of Emotional Connections,Depth of Emotional Connections,Emotion,"Measures the presence, intensity, and nuance of emotion related to Depth of Emotional Connections.",1.0,"Rate how strongly the text exhibits 'Depth of Emotional Connections' (Measures the presence, intensity, and nuance of emotion related to Depth of Emotional Connections.)"
Binding foundations index,Binding foundations index,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Binding foundations index.",1.0,"Rate how strongly the text exhibits 'Binding foundations index' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Binding foundations index.)"
Ego Dissolution Frequency,Ego Dissolution Frequency,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Ego Dissolution Frequency.",1.0,"Rate how strongly the text exhibits 'Ego Dissolution Frequency' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Ego Dissolution Frequency.)"
Activator: Turning thoughts into action,Activator: Turning thoughts into action,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Activator: Turning thoughts into action.",1.0,"Rate how strongly the text exhibits 'Activator: Turning thoughts into action' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Activator: Turning thoughts into action.)"
967. Gnostic spiritual metric: Archon meditation frequency,Gnostic spiritual metric: Archon meditation frequency,Spiritual & Cultural,"Evaluates elements of cultural values, religious practices, or spiritual awareness in Gnostic spiritual metric: Archon meditation frequency.",1.0,"Rate how strongly the text exhibits 'Gnostic spiritual metric: Archon meditation frequency' (Evaluates elements of cultural values, religious practices, or spiritual awareness in Gnostic spiritual metric: Archon meditation frequency.)"
Exemplariness,Exemplariness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Exemplariness.",1.0,"Rate how strongly the text exhibits 'Exemplariness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Exemplariness.)"
Moral and Ethical Parameters:,Moral and Ethical Parameters,Safety,"Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Moral and Ethical Parameters.",1.0,"Rate how strongly the text exhibits 'Moral and Ethical Parameters' (Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Moral and Ethical Parameters.)"
Submission:,Submission,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Submission.",1.0,"Rate how strongly the text exhibits 'Submission' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Submission.)"
Frankness,Frankness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Frankness.",1.0,"Rate how strongly the text exhibits 'Frankness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Frankness.)"
Psychological construct: Psychological Safety climate,Psychological construct: Psychological Safety climate,Safety,"Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Psychological construct: Psychological Safety climate.",1.0,"Rate how strongly the text exhibits 'Psychological construct: Psychological Safety climate' (Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Psychological construct: Psychological Safety climate.)"
Psychological construct: Self-Compassion total,Psychological construct: Self-Compassion total,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Self-Compassion total.",1.0,"Rate how strongly the text exhibits 'Psychological construct: Self-Compassion total' (Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Self-Compassion total.)"
Psychological construct: Executive-Function composite,Psychological construct: Executive-Function composite,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Executive-Function composite.",1.0,"Rate how strongly the text exhibits 'Psychological construct: Executive-Function composite' (Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Executive-Function composite.)"
Rebelliousness,Rebelliousness,Safety,"Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Rebelliousness.",1.0,"Rate how strongly the text exhibits 'Rebelliousness' (Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Rebelliousness.)"
Volunteer Work,Volunteer Work,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Volunteer Work.",1.0,"Rate how strongly the text exhibits 'Volunteer Work' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Volunteer Work.)"
